Events
100
Subject,Context,Name,Time (s),Description
Julie,Left,Foot Off,168.773,The instant the toe leaves the ground
Julie,Left,Foot Strike,169.161,The instant the heel strikes the ground
Julie,Left,Foot Off,169.896,The instant the toe leaves the ground
Julie,Left,Foot Strike,170.298,The instant the heel strikes the ground
Julie,Left,Foot Off,171.059,The instant the toe leaves the ground
Julie,Left,Foot Strike,171.472,The instant the heel strikes the ground
Julie,Left,Foot Off,172.216,The instant the toe leaves the ground
Julie,Left,Foot Strike,172.618,The instant the heel strikes the ground
Julie,Left,Foot Off,173.359,The instant the toe leaves the ground
Julie,Left,Foot Strike,173.756,The instant the heel strikes the ground
Julie,Left,Foot Off,174.518,The instant the toe leaves the ground
Julie,Left,Foot Strike,174.928,The instant the heel strikes the ground
Julie,Left,Foot Off,175.673,The instant the toe leaves the ground
Julie,Left,Foot Strike,176.077,The instant the heel strikes the ground
Julie,Left,Foot Off,176.835,The instant the toe leaves the ground
Julie,Left,Foot Strike,177.249,The instant the heel strikes the ground
Julie,Left,Foot Off,178.002,The instant the toe leaves the ground
Julie,Left,Foot Strike,178.411,The instant the heel strikes the ground
Julie,Left,Foot Off,179.148,The instant the toe leaves the ground
Julie,Left,Foot Strike,179.552,The instant the heel strikes the ground
Julie,Left,Foot Off,180.291,The instant the toe leaves the ground
Julie,Left,Foot Strike,180.697,The instant the heel strikes the ground
Julie,Left,Foot Off,181.457,The instant the toe leaves the ground
Julie,Left,Foot Strike,181.88,The instant the heel strikes the ground
Julie,Left,Foot Off,182.66,The instant the toe leaves the ground
Julie,Left,Foot Strike,183.073,The instant the heel strikes the ground
Julie,Left,Foot Off,183.793,The instant the toe leaves the ground
Julie,Left,Foot Strike,184.208,The instant the heel strikes the ground
Julie,Left,Foot Off,184.949,The instant the toe leaves the ground
Julie,Left,Foot Strike,185.372,The instant the heel strikes the ground
Julie,Left,Foot Off,186.152,The instant the toe leaves the ground
Julie,Left,Foot Strike,186.578,The instant the heel strikes the ground
Julie,Left,Foot Off,187.347,The instant the toe leaves the ground
Julie,Left,Foot Strike,187.761,The instant the heel strikes the ground
Julie,Left,Foot Off,188.502,The instant the toe leaves the ground
Julie,Left,Foot Strike,188.915,The instant the heel strikes the ground
Julie,Left,Foot Off,189.684,The instant the toe leaves the ground
Julie,Left,Foot Strike,190.08,The instant the heel strikes the ground
Julie,Left,Foot Off,190.839,The instant the toe leaves the ground
Julie,Left,Foot Strike,191.261,The instant the heel strikes the ground
Julie,Left,Foot Off,192.008,The instant the toe leaves the ground
Julie,Left,Foot Strike,192.427,The instant the heel strikes the ground
Julie,Left,Foot Off,193.194,The instant the toe leaves the ground
Julie,Left,Foot Strike,193.61,The instant the heel strikes the ground
Julie,Left,Foot Off,194.364,The instant the toe leaves the ground
Julie,Left,Foot Strike,194.788,The instant the heel strikes the ground
Julie,Left,Foot Off,195.544,The instant the toe leaves the ground
Julie,Left,Foot Strike,195.957,The instant the heel strikes the ground
Julie,Left,Foot Off,196.75,The instant the toe leaves the ground
Julie,Left,Foot Strike,197.176,The instant the heel strikes the ground
Julie,Left,Foot Off,197.922,The instant the toe leaves the ground
Julie,Left,Foot Strike,198.328,The instant the heel strikes the ground
Julie,Left,Foot Off,199.083,The instant the toe leaves the ground
Julie,Left,Foot Strike,199.473,The instant the heel strikes the ground
Julie,Left,Foot Off,200.232,The instant the toe leaves the ground
Julie,Left,Foot Strike,200.631,The instant the heel strikes the ground
Julie,Left,Foot Off,201.386,The instant the toe leaves the ground
Julie,Left,Foot Strike,201.793,The instant the heel strikes the ground
Julie,Left,Foot Off,202.553,The instant the toe leaves the ground
Julie,Left,Foot Strike,202.957,The instant the heel strikes the ground
Julie,Left,Foot Off,203.715,The instant the toe leaves the ground
Julie,Left,Foot Strike,204.119,The instant the heel strikes the ground
Julie,Left,Foot Off,204.881,The instant the toe leaves the ground
Julie,Left,Foot Strike,205.301,The instant the heel strikes the ground
Julie,Left,Foot Off,206.09,The instant the toe leaves the ground
Julie,Left,Foot Strike,206.519,The instant the heel strikes the ground
Julie,Left,Foot Off,207.264,The instant the toe leaves the ground
Julie,Left,Foot Strike,207.687,The instant the heel strikes the ground
Julie,Left,Foot Off,208.439,The instant the toe leaves the ground
Julie,Left,Foot Strike,208.826,The instant the heel strikes the ground
Julie,Left,Foot Off,209.589,The instant the toe leaves the ground
Julie,Left,Foot Strike,209.996,The instant the heel strikes the ground
Julie,Left,Foot Off,210.777,The instant the toe leaves the ground
Julie,Left,Foot Strike,211.203,The instant the heel strikes the ground
Julie,Left,Foot Off,211.979,The instant the toe leaves the ground
Julie,Left,Foot Strike,212.39,The instant the heel strikes the ground
Julie,Left,Foot Off,213.154,The instant the toe leaves the ground
Julie,Left,Foot Strike,213.566,The instant the heel strikes the ground
Julie,Left,Foot Off,214.315,The instant the toe leaves the ground
Julie,Left,Foot Strike,214.716,The instant the heel strikes the ground
Julie,Left,Foot Off,215.466,The instant the toe leaves the ground
Julie,Left,Foot Strike,215.879,The instant the heel strikes the ground
Julie,Left,Foot Off,216.671,The instant the toe leaves the ground
Julie,Left,Foot Strike,217.075,The instant the heel strikes the ground
Julie,Left,Foot Off,217.848,The instant the toe leaves the ground
Julie,Left,Foot Strike,218.244,The instant the heel strikes the ground
Julie,Left,Foot Off,218.985,The instant the toe leaves the ground
Julie,Left,Foot Strike,219.407,The instant the heel strikes the ground
Julie,Left,Foot Off,220.167,The instant the toe leaves the ground
Julie,Left,Foot Strike,220.576,The instant the heel strikes the ground
Julie,Left,Foot Off,221.328,The instant the toe leaves the ground
Julie,Left,Foot Strike,221.765,The instant the heel strikes the ground
Julie,Left,Foot Off,222.526,The instant the toe leaves the ground
Julie,Left,Foot Strike,222.922,The instant the heel strikes the ground
Julie,Left,Foot Off,223.675,The instant the toe leaves the ground
Julie,Left,Foot Strike,224.095,The instant the heel strikes the ground
Julie,Left,Foot Off,224.819,The instant the toe leaves the ground
Julie,Left,Foot Strike,225.224,The instant the heel strikes the ground
Julie,Left,Foot Off,225.982,The instant the toe leaves the ground
Julie,Left,Foot Strike,226.39,The instant the heel strikes the ground
Julie,Left,Foot Off,227.128,The instant the toe leaves the ground
Julie,Left,Foot Strike,227.545,The instant the heel strikes the ground
Julie,Left,Foot Off,228.298,The instant the toe leaves the ground
Julie,Left,Foot Strike,228.783,The instant the heel strikes the ground
Julie,Left,Foot Off,229.5,The instant the toe leaves the ground
Julie,Left,Foot Strike,229.933,The instant the heel strikes the ground
Julie,Left,Foot Off,230.69,The instant the toe leaves the ground
Julie,Left,Foot Strike,231.1,The instant the heel strikes the ground
Julie,Left,Foot Off,231.871,The instant the toe leaves the ground
Julie,Left,Foot Strike,232.272,The instant the heel strikes the ground
Julie,Left,Foot Off,233.079,The instant the toe leaves the ground
Julie,Left,Foot Strike,233.464,The instant the heel strikes the ground
Julie,Left,Foot Off,234.201,The instant the toe leaves the ground
Julie,Left,Foot Strike,234.623,The instant the heel strikes the ground
Julie,Left,Foot Off,235.369,The instant the toe leaves the ground
Julie,Left,Foot Strike,235.782,The instant the heel strikes the ground
Julie,Left,Foot Off,236.537,The instant the toe leaves the ground
Julie,Left,Foot Strike,236.951,The instant the heel strikes the ground
